[2025-01-16T05:41:53.649+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-01-16T05:41:53.729+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: movie_pipeline.parse_collection_page manual__2025-01-16T04:38:13.822674+00:00 [queued]>
[2025-01-16T05:41:53.755+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: movie_pipeline.parse_collection_page manual__2025-01-16T04:38:13.822674+00:00 [queued]>
[2025-01-16T05:41:56.047+0000] {parse.py:78} INFO - Cell number: 10 in Row number: 10
[2025-01-16T05:41:56.048+0000] {parse.py:78} INFO - Cell number: 11 in Row number: 10
[2025-01-16T05:41:56.049+0000] {parse.py:78} INFO - Cell number: 12 in Row number: 10
[2025-01-16T05:41:56.050+0000] {parse.py:70} INFO - Row number: 11 in collection page
[2025-01-16T05:41:56.051+0000] {parse.py:78} INFO - Cell number: 0 in Row number: 11
[2025-01-16T05:41:56.052+0000] {parse.py:78} INFO - Cell number: 1 in Row number: 11
[2025-01-16T05:41:56.053+0000] {parse.py:78} INFO - Cell number: 2 in Row number: 11
[2025-01-16T05:41:56.054+0000] {parse.py:78} INFO - Cell number: 3 in Row number: 11
[2025-01-16T05:41:56.058+0000] {parse.py:78} INFO - Cell number: 4 in Row number: 11
[2025-01-16T05:41:56.059+0000] {parse.py:78} INFO - Cell number: 5 in Row number: 11
[2025-01-16T05:41:56.061+0000] {parse.py:78} INFO - Cell number: 6 in Row number: 11
[2025-01-16T05:41:56.062+0000] {parse.py:78} INFO - Cell number: 7 in Row number: 11
[2025-01-16T05:41:56.064+0000] {parse.py:78} INFO - Cell number: 8 in Row number: 11
[2025-01-16T05:41:56.065+0000] {parse.py:78} INFO - Cell number: 9 in Row number: 11
[2025-01-16T05:41:56.066+0000] {parse.py:78} INFO - Cell number: 10 in Row number: 11
[2025-01-16T05:41:56.068+0000] {parse.py:78} INFO - Cell number: 11 in Row number: 11
[2025-01-16T05:41:56.069+0000] {parse.py:78} INFO - Cell number: 12 in Row number: 11
[2025-01-16T05:41:56.070+0000] {parse.py:70} INFO - Row number: 12 in collection page
[2025-01-16T05:41:56.071+0000] {parse.py:78} INFO - Cell number: 0 in Row number: 12
[2025-01-16T05:41:56.072+0000] {parse.py:78} INFO - Cell number: 1 in Row number: 12
[2025-01-16T05:41:56.073+0000] {parse.py:78} INFO - Cell number: 2 in Row number: 12
[2025-01-16T05:41:56.074+0000] {parse.py:78} INFO - Cell number: 3 in Row number: 12
[2025-01-16T05:41:56.075+0000] {parse.py:78} INFO - Cell number: 4 in Row number: 12
[2025-01-16T05:41:56.076+0000] {parse.py:78} INFO - Cell number: 5 in Row number: 12
[2025-01-16T05:41:56.077+0000] {parse.py:78} INFO - Cell number: 6 in Row number: 12
[2025-01-16T05:41:56.078+0000] {parse.py:78} INFO - Cell number: 7 in Row number: 12
[2025-01-16T05:41:56.080+0000] {parse.py:78} INFO - Cell number: 8 in Row number: 12
[2025-01-16T05:41:56.081+0000] {parse.py:78} INFO - Cell number: 9 in Row number: 12
[2025-01-16T05:41:56.082+0000] {parse.py:78} INFO - Cell number: 10 in Row number: 12
[2025-01-16T05:41:56.083+0000] {parse.py:78} INFO - Cell number: 11 in Row number: 12
[2025-01-16T05:41:56.084+0000] {parse.py:78} INFO - Cell number: 12 in Row number: 12
[2025-01-16T05:41:56.085+0000] {parse.py:70} INFO - Row number: 13 in collection page
[2025-01-16T05:41:56.086+0000] {parse.py:78} INFO - Cell number: 0 in Row number: 13
[2025-01-16T05:41:56.087+0000] {parse.py:78} INFO - Cell number: 1 in Row number: 13
[2025-01-16T05:41:56.088+0000] {parse.py:78} INFO - Cell number: 2 in Row number: 13
[2025-01-16T05:41:56.089+0000] {parse.py:78} INFO - Cell number: 3 in Row number: 13
[2025-01-16T05:41:56.091+0000] {parse.py:78} INFO - Cell number: 4 in Row number: 13
[2025-01-16T05:41:56.092+0000] {parse.py:78} INFO - Cell number: 5 in Row number: 13
[2025-01-16T05:41:56.093+0000] {parse.py:78} INFO - Cell number: 6 in Row number: 13
[2025-01-16T05:41:56.094+0000] {parse.py:78} INFO - Cell number: 7 in Row number: 13
[2025-01-16T05:41:56.095+0000] {parse.py:78} INFO - Cell number: 8 in Row number: 13
[2025-01-16T05:41:56.096+0000] {parse.py:78} INFO - Cell number: 9 in Row number: 13
[2025-01-16T05:41:56.098+0000] {parse.py:78} INFO - Cell number: 10 in Row number: 13
[2025-01-16T05:41:56.099+0000] {parse.py:78} INFO - Cell number: 11 in Row number: 13
[2025-01-16T05:41:56.100+0000] {parse.py:78} INFO - Cell number: 12 in Row number: 13
[2025-01-16T05:41:56.100+0000] {parse.py:70} INFO - Row number: 14 in collection page
[2025-01-16T05:41:56.101+0000] {parse.py:78} INFO - Cell number: 0 in Row number: 14
[2025-01-16T05:41:56.103+0000] {parse.py:78} INFO - Cell number: 1 in Row number: 14
[2025-01-16T05:41:56.104+0000] {parse.py:78} INFO - Cell number: 2 in Row number: 14
[2025-01-16T05:41:56.105+0000] {parse.py:78} INFO - Cell number: 3 in Row number: 14
[2025-01-16T05:41:56.106+0000] {parse.py:78} INFO - Cell number: 4 in Row number: 14
[2025-01-16T05:41:56.107+0000] {parse.py:78} INFO - Cell number: 5 in Row number: 14
[2025-01-16T05:41:56.108+0000] {parse.py:78} INFO - Cell number: 6 in Row number: 14
[2025-01-16T05:41:56.109+0000] {parse.py:78} INFO - Cell number: 7 in Row number: 14
[2025-01-16T05:41:56.110+0000] {parse.py:78} INFO - Cell number: 8 in Row number: 14
[2025-01-16T05:41:56.111+0000] {parse.py:78} INFO - Cell number: 9 in Row number: 14
[2025-01-16T05:41:56.113+0000] {parse.py:78} INFO - Cell number: 10 in Row number: 14
[2025-01-16T05:41:56.114+0000] {parse.py:78} INFO - Cell number: 11 in Row number: 14
[2025-01-16T05:41:56.115+0000] {parse.py:78} INFO - Cell number: 12 in Row number: 14
[2025-01-16T05:41:56.116+0000] {parse.py:70} INFO - Row number: 15 in collection page
[2025-01-16T05:41:56.117+0000] {parse.py:78} INFO - Cell number: 0 in Row number: 15
[2025-01-16T05:41:56.118+0000] {parse.py:78} INFO - Cell number: 1 in Row number: 15
[2025-01-16T05:41:56.119+0000] {parse.py:78} INFO - Cell number: 2 in Row number: 15
[2025-01-16T05:41:56.121+0000] {parse.py:78} INFO - Cell number: 3 in Row number: 15
[2025-01-16T05:41:56.122+0000] {parse.py:78} INFO - Cell number: 4 in Row number: 15
[2025-01-16T05:41:56.123+0000] {parse.py:78} INFO - Cell number: 5 in Row number: 15
[2025-01-16T05:41:56.123+0000] {parse.py:78} INFO - Cell number: 6 in Row number: 15
[2025-01-16T05:41:56.125+0000] {parse.py:78} INFO - Cell number: 7 in Row number: 15
[2025-01-16T05:41:56.126+0000] {parse.py:78} INFO - Cell number: 8 in Row number: 15
[2025-01-16T05:41:56.127+0000] {parse.py:78} INFO - Cell number: 9 in Row number: 15
[2025-01-16T05:41:56.128+0000] {parse.py:78} INFO - Cell number: 10 in Row number: 15
[2025-01-16T05:41:56.128+0000] {parse.py:78} INFO - Cell number: 11 in Row number: 15
[2025-01-16T05:41:56.130+0000] {parse.py:78} INFO - Cell number: 12 in Row number: 15
[2025-01-16T05:41:56.131+0000] {parse.py:70} INFO - Row number: 16 in collection page
[2025-01-16T05:41:56.132+0000] {parse.py:78} INFO - Cell number: 0 in Row number: 16
[2025-01-16T05:41:56.133+0000] {parse.py:78} INFO - Cell number: 1 in Row number: 16
[2025-01-16T05:41:56.134+0000] {parse.py:78} INFO - Cell number: 2 in Row number: 16
[2025-01-16T05:41:56.135+0000] {parse.py:78} INFO - Cell number: 3 in Row number: 16
[2025-01-16T05:41:56.136+0000] {parse.py:78} INFO - Cell number: 4 in Row number: 16
[2025-01-16T05:41:56.138+0000] {parse.py:78} INFO - Cell number: 5 in Row number: 16
[2025-01-16T05:41:56.139+0000] {parse.py:78} INFO - Cell number: 6 in Row number: 16
[2025-01-16T05:41:56.140+0000] {parse.py:78} INFO - Cell number: 7 in Row number: 16
[2025-01-16T05:41:56.141+0000] {parse.py:78} INFO - Cell number: 8 in Row number: 16
[2025-01-16T05:41:56.142+0000] {parse.py:78} INFO - Cell number: 9 in Row number: 16
[2025-01-16T05:41:56.144+0000] {parse.py:78} INFO - Cell number: 10 in Row number: 16
[2025-01-16T05:41:56.145+0000] {parse.py:78} INFO - Cell number: 11 in Row number: 16
[2025-01-16T05:41:56.147+0000] {parse.py:78} INFO - Cell number: 12 in Row number: 16
[2025-01-16T05:41:56.148+0000] {parse.py:70} INFO - Row number: 17 in collection page
[2025-01-16T05:41:56.150+0000] {parse.py:78} INFO - Cell number: 0 in Row number: 17
[2025-01-16T05:41:56.151+0000] {parse.py:78} INFO - Cell number: 1 in Row number: 17
[2025-01-16T05:41:56.152+0000] {parse.py:78} INFO - Cell number: 2 in Row number: 17
[2025-01-16T05:41:56.153+0000] {parse.py:78} INFO - Cell number: 3 in Row number: 17
[2025-01-16T05:41:56.154+0000] {parse.py:78} INFO - Cell number: 4 in Row number: 17
[2025-01-16T05:41:56.156+0000] {parse.py:78} INFO - Cell number: 5 in Row number: 17
[2025-01-16T05:41:56.157+0000] {parse.py:78} INFO - Cell number: 6 in Row number: 17
[2025-01-16T05:41:56.158+0000] {parse.py:78} INFO - Cell number: 7 in Row number: 17
[2025-01-16T05:41:56.160+0000] {parse.py:78} INFO - Cell number: 8 in Row number: 17
[2025-01-16T05:41:56.161+0000] {parse.py:78} INFO - Cell number: 9 in Row number: 17
[2025-01-16T05:41:56.163+0000] {parse.py:78} INFO - Cell number: 10 in Row number: 17
[2025-01-16T05:41:56.164+0000] {parse.py:78} INFO - Cell number: 11 in Row number: 17
[2025-01-16T05:41:56.165+0000] {parse.py:78} INFO - Cell number: 12 in Row number: 17
[2025-01-16T05:41:56.167+0000] {parse.py:70} INFO - Row number: 18 in collection page
[2025-01-16T05:41:56.168+0000] {parse.py:78} INFO - Cell number: 0 in Row number: 18
[2025-01-16T05:41:56.169+0000] {parse.py:78} INFO - Cell number: 1 in Row number: 18
[2025-01-16T05:41:56.171+0000] {parse.py:78} INFO - Cell number: 2 in Row number: 18
[2025-01-16T05:41:56.173+0000] {parse.py:78} INFO - Cell number: 3 in Row number: 18
[2025-01-16T05:41:56.181+0000] {parse.py:78} INFO - Cell number: 4 in Row number: 18
[2025-01-16T05:41:56.183+0000] {parse.py:78} INFO - Cell number: 5 in Row number: 18
[2025-01-16T05:41:56.185+0000] {parse.py:78} INFO - Cell number: 6 in Row number: 18
[2025-01-16T05:41:56.186+0000] {parse.py:78} INFO - Cell number: 7 in Row number: 18
[2025-01-16T05:41:56.187+0000] {parse.py:78} INFO - Cell number: 8 in Row number: 18
[2025-01-16T05:41:56.189+0000] {parse.py:78} INFO - Cell number: 9 in Row number: 18
[2025-01-16T05:41:56.190+0000] {parse.py:78} INFO - Cell number: 10 in Row number: 18
[2025-01-16T05:41:56.192+0000] {parse.py:78} INFO - Cell number: 11 in Row number: 18
[2025-01-16T05:41:56.193+0000] {parse.py:78} INFO - Cell number: 12 in Row number: 18
[2025-01-16T05:41:56.194+0000] {parse.py:70} INFO - Row number: 19 in collection page
[2025-01-16T05:41:56.196+0000] {parse.py:78} INFO - Cell number: 0 in Row number: 19
[2025-01-16T05:41:56.198+0000] {parse.py:78} INFO - Cell number: 1 in Row number: 19
[2025-01-16T05:41:56.199+0000] {parse.py:78} INFO - Cell number: 2 in Row number: 19
[2025-01-16T05:41:56.201+0000] {parse.py:78} INFO - Cell number: 3 in Row number: 19
[2025-01-16T05:41:56.203+0000] {parse.py:78} INFO - Cell number: 4 in Row number: 19
[2025-01-16T05:41:56.205+0000] {parse.py:78} INFO - Cell number: 5 in Row number: 19
