[2024-12-29T04:43:22.059+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-29T04:43:22.136+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: movie_pipeline.scrape_filmmakers manual__2024-12-27T11:38:32.797674+00:00 [queued]>
[2024-12-29T05:23:06.959+0000] {extract.py:152} INFO - movie iteration 19 and filmamker iteration 6 for movie_id : tt26446278 and filmmaker_id: nm3319078
[2024-12-29T05:23:29.220+0000] {extract.py:152} INFO - movie iteration 19 and filmamker iteration 7 for movie_id : tt26446278 and filmmaker_id: nm1326732
[2024-12-29T05:24:19.271+0000] {extract.py:152} INFO - movie iteration 20 and filmamker iteration 0 for movie_id : tt28082769 and filmmaker_id: nm2959497
[2024-12-29T05:25:02.098+0000] {extract.py:152} INFO - movie iteration 20 and filmamker iteration 1 for movie_id : tt28082769 and filmmaker_id: nm9415549
[2024-12-29T05:25:36.899+0000] {extract.py:152} INFO - movie iteration 20 and filmamker iteration 2 for movie_id : tt28082769 and filmmaker_id: nm2959497
[2024-12-29T05:25:52.885+0000] {extract.py:152} INFO - movie iteration 20 and filmamker iteration 3 for movie_id : tt28082769 and filmmaker_id: nm1017048
[2024-12-29T05:26:11.139+0000] {extract.py:152} INFO - movie iteration 20 and filmamker iteration 4 for movie_id : tt28082769 and filmmaker_id: nm0765597
[2024-12-29T05:26:36.093+0000] {extract.py:152} INFO - movie iteration 20 and filmamker iteration 5 for movie_id : tt28082769 and filmmaker_id: nm1910274
[2024-12-29T05:27:23.446+0000] {extract.py:152} INFO - movie iteration 20 and filmamker iteration 6 for movie_id : tt28082769 and filmmaker_id: nm0001035
[2024-12-29T05:28:08.689+0000] {extract.py:152} INFO - movie iteration 21 and filmamker iteration 0 for movie_id : tt29623480 and filmmaker_id: nm0761498
[2024-12-29T05:28:47.134+0000] {extract.py:152} INFO - movie iteration 21 and filmamker iteration 1 for movie_id : tt29623480 and filmmaker_id: nm0761498
[2024-12-29T05:29:05.792+0000] {extract.py:152} INFO - movie iteration 21 and filmamker iteration 2 for movie_id : tt29623480 and filmmaker_id: nm2464094
[2024-12-29T05:29:24.622+0000] {extract.py:152} INFO - movie iteration 21 and filmamker iteration 3 for movie_id : tt29623480 and filmmaker_id: nm2143282
[2024-12-29T05:29:50.860+0000] {extract.py:152} INFO - movie iteration 21 and filmamker iteration 4 for movie_id : tt29623480 and filmmaker_id: nm0050959
[2024-12-29T05:30:18.219+0000] {extract.py:152} INFO - movie iteration 21 and filmamker iteration 5 for movie_id : tt29623480 and filmmaker_id: nm5598573
[2024-12-29T05:30:49.458+0000] {extract.py:152} INFO - movie iteration 22 and filmamker iteration 0 for movie_id : tt21987878 and filmmaker_id: nm1658935
[2024-12-29T05:31:11.753+0000] {extract.py:152} INFO - movie iteration 22 and filmamker iteration 1 for movie_id : tt21987878 and filmmaker_id: nm1658935
[2024-12-29T05:31:29.094+0000] {extract.py:152} INFO - movie iteration 22 and filmamker iteration 2 for movie_id : tt21987878 and filmmaker_id: nm0000582
[2024-12-29T05:31:47.408+0000] {extract.py:152} INFO - movie iteration 22 and filmamker iteration 3 for movie_id : tt21987878 and filmmaker_id: nm1910274
[2024-12-29T05:32:06.286+0000] {extract.py:152} INFO - movie iteration 22 and filmamker iteration 4 for movie_id : tt21987878 and filmmaker_id: nm0000114
[2024-12-29T05:33:23.135+0000] {python.py:240} INFO - Done. Returned value was: run_20241225/filmmaker_html_20241225.json
[2024-12-29T05:33:33.556+0000] {job.py:229} INFO - Heartbeat recovered after 10.86 seconds
[2024-12-29T05:33:39.674+0000] {taskinstance.py:340} INFO - ::group::Post task execution logs
[2024-12-29T05:33:39.919+0000] {taskinstance.py:352} INFO - Marking task as SUCCESS. dag_id=movie_pipeline, task_id=scrape_filmmakers, run_id=manual__2024-12-27T11:38:32.797674+00:00, execution_date=20241227T113832, start_date=20241229T044322, end_date=20241229T053339
[2024-12-29T05:33:41.609+0000] {local_task_job_runner.py:266} INFO - Task exited with return code 0
[2024-12-29T05:33:43.481+0000] {taskinstance.py:3895} INFO - 0 downstream tasks scheduled from follow-on schedule check
[2024-12-29T05:33:43.508+0000] {local_task_job_runner.py:245} INFO - ::endgroup::
[2024-12-29T05:33:45.213+0000] {standard_task_runner.py:217} INFO - Process not found (most likely exited), stop collecting metrics
