[2024-12-27T11:38:57.291+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-27T11:38:57.416+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: movie_pipeline.parse_collection_page manual__2024-12-27T11:38:32.797674+00:00 [queued]>
[2024-12-27T11:38:57.775+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: movie_pipeline.parse_collection_page manual__2024-12-27T11:38:32.797674+00:00 [queued]>
[2024-12-27T11:38:58.812+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 11
[2024-12-27T11:38:58.815+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 11
[2024-12-27T11:38:58.817+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 11
[2024-12-27T11:38:58.819+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 11
[2024-12-27T11:38:58.823+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 11
[2024-12-27T11:38:58.825+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 11
[2024-12-27T11:38:58.826+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 11
[2024-12-27T11:38:58.828+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 11
[2024-12-27T11:38:58.831+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 11
[2024-12-27T11:38:58.834+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 11
[2024-12-27T11:38:58.835+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 11
[2024-12-27T11:38:58.839+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 11
[2024-12-27T11:38:58.841+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 11
[2024-12-27T11:38:58.842+0000] {parse.py:68} INFO - Row number: 12 in collection page
[2024-12-27T11:38:58.844+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 12
[2024-12-27T11:38:58.845+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 12
[2024-12-27T11:38:58.848+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 12
[2024-12-27T11:38:58.850+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 12
[2024-12-27T11:38:58.852+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 12
[2024-12-27T11:38:58.856+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 12
[2024-12-27T11:38:58.857+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 12
[2024-12-27T11:38:58.859+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 12
[2024-12-27T11:38:58.860+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 12
[2024-12-27T11:38:58.863+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 12
[2024-12-27T11:38:58.865+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 12
[2024-12-27T11:38:58.867+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 12
[2024-12-27T11:38:58.868+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 12
[2024-12-27T11:38:58.873+0000] {parse.py:68} INFO - Row number: 13 in collection page
[2024-12-27T11:38:58.874+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 13
[2024-12-27T11:38:58.876+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 13
[2024-12-27T11:38:58.878+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 13
[2024-12-27T11:38:58.880+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 13
[2024-12-27T11:38:58.882+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 13
[2024-12-27T11:38:58.884+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 13
[2024-12-27T11:38:58.885+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 13
[2024-12-27T11:38:58.889+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 13
[2024-12-27T11:38:58.890+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 13
[2024-12-27T11:38:58.892+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 13
[2024-12-27T11:38:58.893+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 13
[2024-12-27T11:38:58.895+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 13
[2024-12-27T11:38:58.897+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 13
[2024-12-27T11:38:58.899+0000] {parse.py:68} INFO - Row number: 14 in collection page
[2024-12-27T11:38:58.901+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 14
[2024-12-27T11:38:58.904+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 14
[2024-12-27T11:38:58.906+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 14
[2024-12-27T11:38:58.908+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 14
[2024-12-27T11:38:58.909+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 14
[2024-12-27T11:38:58.912+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 14
[2024-12-27T11:38:58.914+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 14
[2024-12-27T11:38:58.915+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 14
[2024-12-27T11:38:58.917+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 14
[2024-12-27T11:38:58.919+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 14
[2024-12-27T11:38:58.923+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 14
[2024-12-27T11:38:58.924+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 14
[2024-12-27T11:38:58.925+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 14
[2024-12-27T11:38:58.929+0000] {parse.py:68} INFO - Row number: 15 in collection page
