[2025-01-09T12:28:14.854+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-01-09T12:28:14.990+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: movie_pipeline.parse_collection_page scheduled__2025-01-08T00:00:00+00:00 [queued]>
[2025-01-09T12:28:15.032+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: movie_pipeline.parse_collection_page scheduled__2025-01-08T00:00:00+00:00 [queued]>
[2025-01-09T12:28:16.689+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 7
[2025-01-09T12:28:16.690+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 7
[2025-01-09T12:28:16.695+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 7
[2025-01-09T12:28:16.697+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 7
[2025-01-09T12:28:16.698+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 7
[2025-01-09T12:28:16.700+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 7
[2025-01-09T12:28:16.702+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 7
[2025-01-09T12:28:16.705+0000] {parse.py:68} INFO - Row number: 8 in collection page
[2025-01-09T12:28:16.707+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 8
[2025-01-09T12:28:16.711+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 8
[2025-01-09T12:28:16.715+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 8
[2025-01-09T12:28:16.717+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 8
[2025-01-09T12:28:16.722+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 8
[2025-01-09T12:28:16.724+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 8
[2025-01-09T12:28:16.729+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 8
[2025-01-09T12:28:16.731+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 8
[2025-01-09T12:28:16.732+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 8
[2025-01-09T12:28:16.735+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 8
[2025-01-09T12:28:16.737+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 8
[2025-01-09T12:28:16.739+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 8
[2025-01-09T12:28:16.741+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 8
[2025-01-09T12:28:16.747+0000] {parse.py:68} INFO - Row number: 9 in collection page
[2025-01-09T12:28:16.748+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 9
[2025-01-09T12:28:16.752+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 9
[2025-01-09T12:28:16.755+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 9
[2025-01-09T12:28:16.757+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 9
[2025-01-09T12:28:16.760+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 9
[2025-01-09T12:28:16.763+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 9
[2025-01-09T12:28:16.765+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 9
[2025-01-09T12:28:16.767+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 9
[2025-01-09T12:28:16.769+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 9
[2025-01-09T12:28:16.772+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 9
[2025-01-09T12:28:16.774+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 9
[2025-01-09T12:28:16.779+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 9
[2025-01-09T12:28:16.781+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 9
[2025-01-09T12:28:16.782+0000] {parse.py:68} INFO - Row number: 10 in collection page
[2025-01-09T12:28:16.784+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 10
[2025-01-09T12:28:16.786+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 10
[2025-01-09T12:28:16.789+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 10
[2025-01-09T12:28:16.791+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 10
[2025-01-09T12:28:16.796+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 10
[2025-01-09T12:28:16.797+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 10
[2025-01-09T12:28:16.799+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 10
[2025-01-09T12:28:16.801+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 10
[2025-01-09T12:28:16.803+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 10
[2025-01-09T12:28:16.805+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 10
[2025-01-09T12:28:16.807+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 10
[2025-01-09T12:28:16.810+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 10
[2025-01-09T12:28:16.813+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 10
[2025-01-09T12:28:16.815+0000] {parse.py:68} INFO - Row number: 11 in collection page
[2025-01-09T12:28:16.818+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 11
[2025-01-09T12:28:16.820+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 11
[2025-01-09T12:28:16.823+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 11
[2025-01-09T12:28:16.825+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 11
[2025-01-09T12:28:16.829+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 11
[2025-01-09T12:28:16.831+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 11
[2025-01-09T12:28:16.832+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 11
[2025-01-09T12:28:16.834+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 11
[2025-01-09T12:28:16.836+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 11
[2025-01-09T12:28:16.839+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 11
[2025-01-09T12:28:16.840+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 11
[2025-01-09T12:28:16.845+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 11
[2025-01-09T12:28:16.847+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 11
[2025-01-09T12:28:16.848+0000] {parse.py:68} INFO - Row number: 12 in collection page
[2025-01-09T12:28:16.850+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 12
[2025-01-09T12:28:16.852+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 12
[2025-01-09T12:28:16.857+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 12
[2025-01-09T12:28:16.859+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 12
[2025-01-09T12:28:16.863+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 12
[2025-01-09T12:28:16.864+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 12
[2025-01-09T12:28:16.866+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 12
[2025-01-09T12:28:16.868+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 12
[2025-01-09T12:28:16.870+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 12
[2025-01-09T12:28:16.872+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 12
[2025-01-09T12:28:16.874+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 12
[2025-01-09T12:28:16.877+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 12
[2025-01-09T12:28:16.880+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 12
[2025-01-09T12:28:16.881+0000] {parse.py:68} INFO - Row number: 13 in collection page
[2025-01-09T12:28:16.883+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 13
[2025-01-09T12:28:16.885+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 13
[2025-01-09T12:28:16.887+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 13
[2025-01-09T12:28:16.889+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 13
[2025-01-09T12:28:16.891+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 13
[2025-01-09T12:28:16.896+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 13
[2025-01-09T12:28:16.897+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 13
[2025-01-09T12:28:16.899+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 13
[2025-01-09T12:28:16.900+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 13
