[2024-12-29T04:23:24.336+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-29T04:23:24.399+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: movie_pipeline.parse_collection_page scheduled__2024-12-28T00:00:00+00:00 [queued]>
[2024-12-29T04:23:24.647+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: movie_pipeline.parse_collection_page scheduled__2024-12-28T00:00:00+00:00 [queued]>
[2024-12-29T04:23:25.362+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 7
[2024-12-29T04:23:25.363+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 7
[2024-12-29T04:23:25.364+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 7
[2024-12-29T04:23:25.366+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 7
[2024-12-29T04:23:25.367+0000] {parse.py:68} INFO - Row number: 8 in collection page
[2024-12-29T04:23:25.370+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 8
[2024-12-29T04:23:25.371+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 8
[2024-12-29T04:23:25.372+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 8
[2024-12-29T04:23:25.374+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 8
[2024-12-29T04:23:25.375+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 8
[2024-12-29T04:23:25.376+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 8
[2024-12-29T04:23:25.378+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 8
[2024-12-29T04:23:25.379+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 8
[2024-12-29T04:23:25.380+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 8
[2024-12-29T04:23:25.382+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 8
[2024-12-29T04:23:25.383+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 8
[2024-12-29T04:23:25.385+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 8
[2024-12-29T04:23:25.386+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 8
[2024-12-29T04:23:25.387+0000] {parse.py:68} INFO - Row number: 9 in collection page
[2024-12-29T04:23:25.389+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 9
[2024-12-29T04:23:25.390+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 9
[2024-12-29T04:23:25.391+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 9
[2024-12-29T04:23:25.393+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 9
[2024-12-29T04:23:25.394+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 9
[2024-12-29T04:23:25.395+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 9
[2024-12-29T04:23:25.397+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 9
[2024-12-29T04:23:25.398+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 9
[2024-12-29T04:23:25.402+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 9
[2024-12-29T04:23:25.403+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 9
[2024-12-29T04:23:25.405+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 9
[2024-12-29T04:23:25.408+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 9
[2024-12-29T04:23:25.409+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 9
[2024-12-29T04:23:25.412+0000] {parse.py:68} INFO - Row number: 10 in collection page
[2024-12-29T04:23:25.414+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 10
[2024-12-29T04:23:25.416+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 10
[2024-12-29T04:23:25.418+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 10
[2024-12-29T04:23:25.420+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 10
[2024-12-29T04:23:25.421+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 10
[2024-12-29T04:23:25.423+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 10
[2024-12-29T04:23:25.425+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 10
[2024-12-29T04:23:25.426+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 10
[2024-12-29T04:23:25.428+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 10
[2024-12-29T04:23:25.430+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 10
[2024-12-29T04:23:25.432+0000] {parse.py:76} INFO - Cell number: 10 in Row number: 10
[2024-12-29T04:23:25.434+0000] {parse.py:76} INFO - Cell number: 11 in Row number: 10
[2024-12-29T04:23:25.436+0000] {parse.py:76} INFO - Cell number: 12 in Row number: 10
[2024-12-29T04:23:25.438+0000] {parse.py:68} INFO - Row number: 11 in collection page
[2024-12-29T04:23:25.439+0000] {parse.py:76} INFO - Cell number: 0 in Row number: 11
[2024-12-29T04:23:25.441+0000] {parse.py:76} INFO - Cell number: 1 in Row number: 11
[2024-12-29T04:23:25.443+0000] {parse.py:76} INFO - Cell number: 2 in Row number: 11
[2024-12-29T04:23:25.445+0000] {parse.py:76} INFO - Cell number: 3 in Row number: 11
[2024-12-29T04:23:25.447+0000] {parse.py:76} INFO - Cell number: 4 in Row number: 11
[2024-12-29T04:23:25.448+0000] {parse.py:76} INFO - Cell number: 5 in Row number: 11
[2024-12-29T04:23:25.450+0000] {parse.py:76} INFO - Cell number: 6 in Row number: 11
[2024-12-29T04:23:25.453+0000] {parse.py:76} INFO - Cell number: 7 in Row number: 11
[2024-12-29T04:23:25.454+0000] {parse.py:76} INFO - Cell number: 8 in Row number: 11
[2024-12-29T04:23:25.457+0000] {parse.py:76} INFO - Cell number: 9 in Row number: 11
